time,voice,model,prompt_chars,response_chars,host
16:23:27,marrow,ornith-1.5:35b,533,3302,remote://Vero
16:39:13,sable,qwen3.8:27b,517,5859,http://localhost:11434
16:44:57,marrow,ornith-1.5:35b,4007,7244,remote://Vero
16:59:13,sable,qwen3.8:27b,6628,887,http://localhost:11434
17:17:58,quill,muse-glimmer:30b,514,626,http://localhost:11434
17:24:07,marrow,ornith-1.5:35b,4007,7450,http://localhost:11434
17:43:06,marrow,ornith-1.5:35b,12592,6860,remote://Vero
17:47:04,marrow,ornith-1.5:35b,19103,374,remote://Vero
17:50:22,sable,qwen3.8:27b,7834,4010,http://localhost:11434
17:52:18,marrow,ornith-1.5:35b,19122,568,remote://Vero
18:10:22,quill,muse-glimmer:30b,1205,59,http://localhost:11434
18:32:23,sable,qwen3.8:27b,11308,1488,http://localhost:11434
18:39:19,marrow,ornith-1.5:35b,19122,623,http://localhost:11434
18:53:02,sable,qwen3.8:27b,13042,3270,remote://Vero
18:57:56,marrow,ornith-1.5:35b,20351,6848,remote://Vero
18:58:50,quill,muse-glimmer:30b,1231,0,http://localhost:11434
19:11:33,marrow,ornith-1.5:35b,26969,7495,remote://Vero
